;;Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24
images parfums;Lien de redirection;Marque;Parfumeur;Année de lancement;Nom du Parfum;Notedominante;Epicee;Ambree;Boisee Mousse;Cuir;Aromatique;Florale;Hesperidee;Boisee;Florale Fraiche;Balsamique;Verte;Florale Rosee;Musquee;Fruitee;Florale Poudree;Marine;Fleur D'Oranger;Conifere Terpenique;Aldehydee
https://www.dropbox.com/scl/fo/gb3ujb9g7mqfzcffm66ky/AMgCKG0V-vspnhJOE551WRw?rlkey=75zvxk9xkhxkph8ba6ra4uqf4&st=09dab496&dl=0;https://www.olfactivestudio.com/  ;Olfactive Studio;John Doe;2019.0;Chypre Shot;Epicee;3.0;1.6;1.0;0.7;1.5;0.0;0.0;0.85;0.0;0.6;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fo/cwn5qknx03xcfoqpwmkr1/ADChJ8SonBbR3G1FaiH8WLw?rlkey=mveraolmh2eh6aj98o9h88h45&st=sapgfdwc&dl=0;https://www.olfactivestudio.com/  ;Olfactive Studio;John Doe;2019.0;Flash Back in New York;Cuir;1.0;2.3;0.85;3.4;0.5;1.0;0.0;2.2;0.4;0.0;0.0;0.7;0.0;0.0;0.8;0.0;0.6;0.7;0.3
https://www.dropbox.com/scl/fo/ojtsa6gn0fchaeddeth9f/APW7sfdJPPXzWPwzTR3GITU?rlkey=1oelioi7txkph83p8iu0of769&st=v2g5ee5m&dl=0;https://www.olfactivestudio.com/  ;Olfactive Studio;John Doe;2019.0;Still Life;Hesperidee;2.0;0.4;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;1.2000000000000002;0.0;0.0;1.7999999999999998;0.0;0.0;1.5;0.0;1.2000000000000002
https://www.dropbox.com/scl/fo/nhq7740td3x67ze0n46dr/AKDvr8mQys0lNzIY5901Z_0?rlkey=870lrxgkmt3tdvzvnlsdsff2l&st=9s1q5k68&dl=0;https://www.olfactivestudio.com/  ;Olfactive Studio;John Doe;2019.0;Close Up;Fruitee;0.0;0.6;0.0;0.0;0.0;0.0;1.7999999999999998;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fo/14bhpsq3k69oabftl3tf0/AKswNYzHjdkAedeh83xY06A?rlkey=oi0uroz6mthbt8hb82aottl3o&st=ozpseomf&dl=0;https://www.maisonviolet.com/ ;Maison Violet;Nathalie Lorson;2019.0;Cycle 002;Epicee;3.0;1.2000000000000002;0.85;0.4;1.5;0.0;2.0;1.0;0.0;1.0;0.8;0.0;0.0;1.2;0.0;0.0;1.0;0.7;0.8
https://www.dropbox.com/scl/fo/7ndosmymcarfr5jug47p1/ANLEzVo6LeF2EhMUmROu8m0?rlkey=3iwdkv31bh365hsw6jbbec2pm&st=qfpy5g51&dl=0;https://www.maisonviolet.com/ ;Maison Violet;Nathalie Lorson;2019.0;Pour Rêver;Boisee;0.0;1.2;2.55;1.2000000000000002;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0999999999999996;0.0
https://www.dropbox.com/scl/fo/loqkl085gisdpz25fi1jg/AKvQUQET2ebfshwVsavV5oA?rlkey=r2toirk4nc0061rsvt3fql8cx&st=m33i7zfm&dl=0;https://www.maisonviolet.com/ ;Maison Violet;Nathalie Lorson;2019.0;Abîme;Boisee;2.0;0.4;2.55;1.2000000000000002;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0999999999999996;0.0
https://www.dropbox.com/scl/fo/m77j1kk90ri2yh3e5w1ct/AIhkkSUctX4enzig4YoaPvo?rlkey=eivfuk1cfexsh0w83l236ak1v&st=pti63dnq&dl=0;https://www.maisonviolet.com/ ;Maison Violet;Nathalie Lorson;2019.0;Un Air d'Apogée;Florale Poudree;0.0;1.6;0.0;0.7;0.0;2.4000000000000004;0.0;0.0;0.0;1.6;0.0;2.25;2.3;0.0;3.0;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fi/zgwszxvuzf3ehi22djslr/281845_img-3710-poecile-mont-cristal_480.jpg?rlkey=al71hc3rfkabvqkhbxhwsseos&st=ccqn94v1&dl=0;https://poecile.fr/;Poecile;Patrice Revillard;2019.0;Mont Cristal;Florale Poudree;0.0;0.0;0.0;0.0;0.0;2.4000000000000004;0.0;0.0;0.0;0.0;0.0;2.25;1.7999999999999998;0.0;3.0;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fo/69yvzurcxdlds102n3bqj/ABdPyimZOjkuSiWle0alh_8?rlkey=ticfmy4f2yw915k4a6evrhhd3&st=8rwy79bs&dl=0;https://www.ilado.fr/;Ilado;FLAIR;2019.0;To The Moon;Musquee;0.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;1.7999999999999998;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fo/brdpo6g0w7r9t5dh51y50/AGJgAj3f1lA3SkYw9nlg1XE?rlkey=x1ebfvdt4gdjgn3q48z6xmn8h&st=udp7nn2i&dl=0;https://www.judith-paris.com/;JUDITH PARIS;Jane Doe;2019.0;COL ROND;Musquee;0.0;1.5;0.85;0.4;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;1.7999999999999998;0.0;0.0;0.7;0.0
https://www.dropbox.com/scl/fo/mday0ctjhvgl37avisczr/AKCoqlMZcea-dIejF4eWQB4?rlkey=b9l72glwd98p6bolw399o9xj8&st=ecn8e7hm&dl=0;https://www.judith-paris.com/;JUDITH PARIS;Jane Doe;2019.0;TAILLE HAUTE (2022);Florale Fraiche;0.0;0.0;0.0;0.0;0.0;1.2000000000000002;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0999999999999996;0.0;0.0;0.8999999999999999
https://www.dropbox.com/scl/fo/jgmr9x5o9ajfe29679rqb/ABNXSTrF5z1xwQ7Lsvd4qpQ?rlkey=u65nqm6tmy97kowhv1ew1r3wu&st=xe0t65rw&dl=0;https://www.judith-paris.com/;JUDITH PARIS;Jane Doe;2019.0;OVERSIZE;Ambree;0.0;3.6;0.0;2.0999999999999996;0.0;1.0;0.0;0.0;0.4;2.8;0.0;0.7;1.5;0.0;0.8;0.0;0.6;0.0;0.3
https://www.dropbox.com/scl/fo/1sbpgm68xt05d4icqv486/AGwbbyha2OYQN3KdFHcCK24?rlkey=d9t4c5k91ez1eo4z1vuki9wcr&st=ik27tr79&dl=0;https://www.judith-paris.com/;JUDITH PARIS;Jane Doe;2019.0;Créole ;Hesperidee;0.0;0.0;0.0;0.0;0.0;0.6;3.5;0.0;0.0;0.0;1.2000000000000002;0.0;0.0;1.7999999999999998;0.0;0.0;2.5;0.0;1.4000000000000001
https://www.dropbox.com/scl/fi/rp25dnsix5ekpiacd891b/SENTCEPTION_BEAUTY_OF_ITALY_04851.webp?rlkey=ufidig3uol778gmnmeqzmfirl&st=kyq6i673&dl=0;https://scentception.com/collections/shop;Scentception;Nadia Geyken Firenze;2024.0;Admire. The Beauty of Italy;Hesperidee;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.2000000000000002;0.0;0.0;1.7999999999999998;0.0;0.0;1.5;0.0;1.2000000000000002
https://www.dropbox.com/scl/fi/1g3k3mw8z4bkxwkez1w76/SENTCEPTION_CHARM_OF_FRANCE_04701.webp?rlkey=9olnv1sa2rz66nvep88ip63jc&st=dc2agm35&dl=0;https://scentception.com/collections/shop;Scentception;Nadia Geyken Firenze;2024.0;Feel. The Charm of France;Boisee;1.0;0.2;2.55;1.2000000000000002;0.5;0.0;0.6;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0999999999999996;0.0
https://www.dropbox.com/scl/fi/3eo5hkseie5fkn6971sog/SENTCEPTION_MAGIC_OF_BALI_04781.webp?rlkey=chol3vpyfmsv3aj5rsjzhnmki&st=60xptavs&dl=0;https://scentception.com/collections/shop;Scentception;Nadia Geyken Firenze;2024.0;Try. The Magic of Bali;Epicee;3.0;1.2000000000000002;0.0;0.0;1.5;2.0;0.0;0.0;0.8;1.0;0.0;1.4;0.0;0.0;1.6;0.0;1.2;0.0;0.6
https://www.dropbox.com/scl/fi/5zxxuwhvz1y33ce15ftrf/SENTCEPTION_HEARTBEAT_OF_GERMANY_04681.webp?rlkey=uw0egs2otvcn3fbv4h4v3ojp6&st=2cra4hw2&dl=0;https://scentception.com/collections/shop;Scentception;Nadia Geyken Firenze;2024.0;Listen. to the Heartbeat of Germany;Verte;0.0;0.0;0.0;0.0;0.0;1.0;1.2000000000000002;1.4;0.4;0.0;3.0;0.7;0.0;0.0;0.8;1.2000000000000002;0.6;2.0;0.9000000000000001
https://www.dropbox.com/scl/fi/eo9z7u5drzrsze4dxleyh/SENTCEPTION_HERITAGE_OF_UKRAINE_04651.webp?rlkey=adqgvmmbucv2w06k6geohxwzg&st=g35hondu&dl=0;https://scentception.com/collections/shop;Scentception;Nadia Geyken Firenze;2024.0;Touch. The Heritage of Ukraine;Aromatique;1.5;0.0;0.85;0.4;3.0;0.0;1.0;1.0;0.0;0.0;0.4;0.0;0.0;0.6;0.0;0.0;0.5;0.7;1.2999999999999998
https://www.dropbox.com/scl/fi/5mck38tptgtl2z1ylzc2h/LEAU_DOR_DORT_14259-min.webp?rlkey=efoys3ac1vzsry9i8te4to10c&st=hsldokmg&dl=0;https://fascent.com/;Fascent ;Elise Pierre;2023.0;L'EAU D'OR DORT;Fleur D'Oranger;0.0;0.5;0.0;0.0;0.0;1.7999999999999998;3.5;0.0;0.0;0.0;0.8;0.0;1.0;1.2;0.6;0.0;4.0;0.0;1.4000000000000001
https://www.dropbox.com/scl/fi/zqndql44mc9kt143e9nf2/RADICAL_SOFTNESS_14949_1_-min.webp?rlkey=virikcgpviu36aeurjivk2i3l&st=epizx5au&dl=0;https://fascent.com/;Fascent ;Elise Pierre;2023.0;RADICAL SOFTNESS;Musquee;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.7999999999999998;0.0;0.0;0.0;0.0
https://www.dropbox.com/scl/fi/7gq43p5mh60c5bgv1724n/I_FIG_YOU_14572-min.webp?rlkey=9891a8mxcvnyx08g2ylam4x6v&st=iyv9kskm&dl=0;https://fascent.com/;Fascent ;Elise Pierre;2023.0;I FIG YOU;Verte;0.5;0.0;0.85;0.4;1.0;0.0;1.2000000000000002;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.2000000000000002;0.0;0.7;0.9000000000000001
https://www.dropbox.com/scl/fi/h1hj3l3wj415r3fhmm0fk/SEL_A_VIE_15254_1-min.webp?rlkey=24rfp32v267p2ksctnv0u2czk&st=o2s9xcgp&dl=0;https://fascent.com/;Fascent ;Elise Pierre;2023.0;SEL À VIE;Hesperidee;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.8;0.0;1.2000000000000002;1.4;0.0;1.7999999999999998;1.6;0.0;2.7;0.0;1.8000000000000003
https://www.dropbox.com/scl/fi/mtjdfqiebs964bbuipfyx/MILKY_NO_WAY_15621_1_-min.webp?rlkey=tqrwq1pi44618yqqstf9ifrd5&st=0d7bk342&dl=0;https://fascent.com/;Fascent ;Elise Pierre;2023.0;MILKY NO WAY;Balsamique;0.0;1.7999999999999998;0.85;0.4;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0
https://www.dropbox.com/scl/fi/0uhogwjc0r8tdwnbthylu/pdm-terre-soleil-beautyshot-50ml-2000x2000_823x.webp?rlkey=mkb5qxxgreqyu884r4og5zyll&st=z01z2iqz&dl=0;https://parfumeurs-du-monde.com/;Parfumeurs du monde ;Stéphanie Bakouche;;Terre de Soleil ;Aromatique;1.5;1.0;0.0;0.7;3.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.8999999999999999
https://www.dropbox.com/scl/fi/i672ky5wy6pb67vi6qphd/pdm-tjarn-beautyshot-50ml-2000x2000_823x.webp?rlkey=180z09673g5suohbrjzir6v4w&st=ilmkf9bc&dl=0;https://parfumeurs-du-monde.com/;Parfumeurs du monde ;Ellen DAHLGREN;;Tjärn ;Boisee;1.0;0.8;3.55;1.2000000000000002;0.5;0.0;0.6;3.85;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0999999999999996;0.0
https://www.dropbox.com/scl/fi/vle997n70plc3bbah503b/pdm-tsingy2-beautyshot-50ml-2000x2000_823x.webp?rlkey=qjj4y2to1etwormdlzlbwbkxx&st=o5s59dqm&dl=0;https://parfumeurs-du-monde.com/;Parfumeurs du monde ;Thierry BERNARD;;Tsingy ;Hesperidee;1.0;0.8;0.0;0.0;0.5;1.0;3.0;0.0;0.4;1.0;1.2000000000000002;0.7;0.0;1.7999999999999998;0.8;0.0;2.1;0.0;1.5000000000000002
https://www.dropbox.com/scl/fi/s4e7xhe2yyq27hy2zcxct/pdm-agua-nativa-beautyshot-50ml-2000x2000_823x.webp?rlkey=6ilv27mqbl7zemonjfojjrvq7&st=flrh8b6j&dl=0;https://parfumeurs-du-monde.com/;Parfumeurs du monde ;Michel ROUDNITSKA;;Agua Nativa ;Epicee;3.5;0.6000000000000001;0.0;0.0;2.5;0.0;2.0;0.0;0.0;0.0;0.8;0.0;0.0;1.2;0.0;0.0;1.0;0.0;1.1
